instance,num_nodes,strategy,best,avg,worst,std,improvement_vs_baseline_%,greedy_reference,budget,evaluations_per_run
2obj_0250_04,250,baseline,952.2052,908.4076,566.6911,88.5088,0.00,,10000,10000
2obj_0250_04,250,cost,1120.1946,1100.8520,934.9074,43.5255,21.18,933.80,10000,10000
2obj_0250_04,250,degree,1032.5071,1026.9210,916.4894,22.8352,13.05,602.84,10000,10000
2obj_0250_04,250,dijkstra,8176.5255,6322.9940,399.6204,3298.4317,596.05,8176.53,10000,10000
2obj_0250_04,250,hybrid,1092.5221,1079.4964,923.2078,32.7570,18.83,976.05,10000,10000
2obj_0250_11,250,baseline,1019.4626,987.4906,802.1423,56.8896,0.00,,10000,10000
2obj_0250_11,250,cost,1099.2536,1071.2292,959.6297,43.4779,8.48,1099.25,10000,10000
2obj_0250_11,250,degree,1055.1166,1046.8054,927.2295,23.4578,6.01,638.91,10000,10000
2obj_0250_11,250,dijkstra,1016.9558,1012.0070,970.3307,9.9506,2.48,527.62,10000,10000
2obj_0250_11,250,hybrid,1099.6505,1099.6505,1099.6505,0.0000,11.36,996.29,10000,10000
2obj_0250_19,250,baseline,958.6333,946.6089,847.0315,32.6101,0.00,,10000,10000
2obj_0250_19,250,cost,1038.8690,1030.9256,948.6736,18.3371,8.91,840.22,10000,10000
2obj_0250_19,250,degree,959.7492,940.2152,769.3759,52.5493,-0.68,442.02,10000,10000
2obj_0250_19,250,dijkstra,965.1894,949.0861,830.9954,43.6079,0.26,533.64,10000,10000
2obj_0250_19,250,hybrid,1087.6349,1078.8431,951.2058,27.8139,13.97,971.22,10000,10000
2obj_0250_30,250,baseline,811.4278,796.1508,537.2964,47.5233,0.00,,10000,10000
2obj_0250_30,250,cost,878.0785,877.2207,863.7821,3.3952,10.18,828.12,10000,10000
2obj_0250_30,250,degree,860.3314,826.8513,627.9907,76.8967,3.86,503.83,10000,10000
2obj_0250_30,250,dijkstra,833.2174,827.1545,679.7469,24.4818,3.89,539.46,10000,10000
2obj_0250_30,250,hybrid,953.9605,937.9589,847.5536,28.6206,17.81,821.76,10000,10000
