generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
1,584.0295,389.4398,168.1434,828.1247,468.7552,201.9375,587.5981,395.2995,201.9375,634.6894,412.5433,263.0210,821.7562,463.1136,221.3046
2,584.0295,423.0981,261.7940,828.1247,595.2886,220.3000,587.5981,423.9898,192.7521,634.6894,463.3988,241.6283,844.6443,579.9319,267.3069
3,584.0295,433.7170,210.7042,828.1247,724.7431,358.2785,587.5981,428.2777,213.8760,635.6346,506.1469,269.7485,844.6443,717.4238,283.9222
4,584.0295,474.7439,179.9240,828.1247,766.1412,249.9831,599.9119,471.6364,244.8804,635.6346,562.3236,320.5177,844.6443,790.0934,531.2268
5,618.6639,511.3664,325.7239,828.1247,790.7045,618.4440,599.9119,511.9753,310.7562,673.0039,580.5200,317.4661,844.6443,816.1255,718.3125
6,618.6639,500.1421,286.6729,828.1247,791.2715,427.1638,599.9119,515.1028,245.5762,673.0039,591.7814,343.5365,844.6443,812.0274,558.7682
7,618.6639,500.8713,305.5154,828.1247,789.4419,591.8024,602.9063,507.5203,228.6794,673.0039,578.9333,392.1125,844.6443,807.0944,518.3747
8,644.2712,519.0659,281.4292,828.1247,806.9878,574.9213,602.9063,528.1745,237.1634,673.0039,558.1451,246.7401,844.6443,827.0141,679.4368
9,644.2712,562.1768,308.4245,844.3731,804.4949,397.4623,602.9063,516.8000,334.6706,673.0039,569.7197,368.4856,844.6443,831.7283,637.3845
10,644.2712,607.8305,414.6793,844.3731,804.0257,594.0977,602.9063,524.0226,213.2116,673.0039,614.6623,413.0136,844.6443,835.5899,703.9557
11,644.2712,601.6937,391.8100,844.3731,813.4001,687.7108,638.9951,509.3164,268.3606,690.6730,655.0733,384.1752,844.6443,839.6469,774.3035
12,644.2712,616.0557,468.2248,844.3731,807.3255,627.8699,643.7995,533.0390,254.0794,690.6730,645.0029,446.6821,844.6443,839.1482,746.6355
