generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
1,759.7812,532.3195,320.4387,1099.2536,655.2227,373.4123,727.5202,559.6631,343.7977,721.6208,542.6063,366.1559,1001.2357,633.6088,394.7736
2,788.9859,602.1111,369.9040,1099.2536,854.2320,414.5319,727.5202,605.1053,411.3035,721.6208,567.0745,389.1110,1001.2357,842.5341,520.8735
3,788.9859,622.4070,391.4982,1099.2536,955.7310,324.3847,727.5202,625.3795,429.8799,728.4987,582.5813,419.6037,1006.2331,924.8826,582.2264
4,819.3564,692.5336,469.2330,1099.2536,1011.4575,738.7244,730.8842,663.3284,401.2043,728.4987,616.4599,435.7896,1011.1764,966.9433,810.7251
5,819.3564,727.1957,443.9105,1099.2536,1032.2453,851.1751,811.3013,678.5132,494.3666,733.4568,642.3269,356.9299,1012.5483,967.8809,692.7276
6,827.8005,741.2784,421.0528,1099.2536,1040.0169,772.2675,844.8565,702.1714,454.8371,735.2610,670.3834,449.7645,1012.5483,978.5320,753.3556
7,827.8005,702.9867,391.6609,1099.2536,1048.8974,577.3920,844.8565,691.1341,446.3204,748.2452,698.3504,480.0289,1017.4833,963.5318,752.8187
8,827.8005,687.0591,409.4340,1099.2536,1028.2731,703.6098,844.8565,697.8570,458.8823,749.1953,704.5231,453.2919,1017.4833,961.8406,695.2015
9,843.2954,706.9476,469.0180,1099.2536,1025.0941,469.6700,844.8565,768.7518,520.6473,811.6077,698.2295,451.9161,1022.4803,953.2380,788.1228
10,843.2954,744.3414,424.6078,1099.2536,1001.8638,655.9777,844.8565,810.7114,563.0795,811.6077,680.8763,447.1337,1042.5889,965.0230,622.1511
11,843.2954,791.0999,583.8477,1099.2536,1025.7325,803.2033,844.8565,830.5635,619.5681,811.6077,683.8503,451.8716,1042.5889,969.8393,794.1436
12,843.2954,772.3565,593.7113,1099.2536,1049.8100,880.7389,866.4305,844.2609,830.0490,836.5134,659.3018,387.1290,1042.5889,961.1731,518.7820
13,843.2954,794.3503,594.1829,1099.2536,1070.5646,837.7920,893.9870,846.9544,833.7821,836.5134,734.1807,423.2636,1042.5889,984.5094,714.5297
14,843.2954,796.3818,593.7113,1099.2536,1053.6040,446.5743,893.9870,846.6775,785.6640,836.5134,753.2285,378.7347,1042.5889,991.0971,642.9877
15,843.2954,801.8473,622.4535,1099.2536,1058.4843,815.5865,893.9870,852.3490,764.4271,836.5134,773.9886,538.8884,1042.5889,1005.3384,746.9346
16,843.2954,818.9193,593.7113,1099.2536,1064.4560,949.6847,893.9870,862.0143,751.8223,875.0710,750.4454,425.7428,1042.5889,1018.0392,805.1412
17,843.2954,831.9484,698.6325,1099.2536,1049.3736,705.5207,893.9870,878.2602,793.9123,875.0710,769.0530,395.8970,1042.5889,1025.1133,813.1518
18,843.2954,826.9883,593.7113,1099.2536,1025.3308,787.6282,911.2179,889.2985,814.9817,875.0710,783.9373,337.4167,1042.5889,1029.8236,842.6634
19,843.2954,820.1107,593.7113,1099.2536,1028.1009,652.1398,911.2179,892.4612,844.1659,875.0710,796.4444,527.2528,1042.5889,1037.7422,975.9250
20,843.2954,831.1289,630.5365,1099.2536,1037.9531,839.1952,911.2179,894.9575,837.7898,877.0629,826.7313,594.2562,1042.5889,1027.4425,717.8026
21,843.2954,830.1596,703.4912,1099.2536,1035.7524,682.2281,911.2179,896.6084,857.1470,877.0629,811.3382,522.4237,1042.5889,1035.3541,968.6356
22,843.2954,835.5007,703.4912,1099.2536,1042.9506,842.8385,911.2179,899.1055,823.9003,877.0629,850.3236,707.1742,1042.5889,1037.6329,944.3965
23,843.2954,818.7486,623.1209,1099.2536,1045.9256,878.2251,911.2179,901.7340,811.4889,877.0629,841.7908,594.2562,1052.9905,1030.3736,693.5817
