generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
1,513.0064,361.0665,222.5253,784.9397,457.7710,242.0035,501.8667,372.0201,242.0035,518.7435,365.5386,203.2896,721.6997,430.1896,234.7174
2,513.0064,405.6582,257.0883,784.9397,607.2450,300.3508,564.9707,455.2021,281.7166,519.0917,425.4610,262.0168,727.9591,536.6094,364.1683
3,513.0064,438.5751,281.9966,784.9397,722.5083,351.8170,564.9707,472.0149,317.7650,594.5507,455.7439,304.3579,729.0717,649.1643,378.7793
4,513.0064,448.9084,316.3779,784.9397,731.1242,559.8326,564.9707,472.5066,308.8508,612.5738,495.9414,308.2799,729.0717,653.2455,426.4610
5,513.0064,469.8340,354.0943,814.2654,765.5084,616.2859,594.1497,499.2362,328.2365,612.5738,539.3762,292.1856,729.0717,653.6702,406.0969
6,513.0064,497.1186,340.0354,814.2654,780.0638,643.4929,594.1497,507.0605,394.8424,642.0791,554.0228,385.6490,729.0717,661.4008,198.9001
7,513.0064,501.5787,294.4835,814.2654,793.0878,700.4394,708.5082,538.4507,299.1057,642.0791,598.0105,447.5566,729.0717,685.7378,436.5608
8,545.2617,507.2414,429.3652,814.2654,809.1329,727.5528,708.5082,575.9354,323.2762,642.0791,626.6114,581.8411,729.0717,729.0717,729.0717
9,545.2617,515.5364,457.4280,814.2654,814.2654,814.2654,708.5082,592.4923,352.5949,642.0791,635.5518,565.1467,772.7422,730.8185,729.0717
10,545.2617,518.5084,426.0352,814.2654,814.2654,814.2654,708.5082,664.2566,447.5512,642.0791,635.6241,572.9006,772.7422,757.1368,729.0717
11,553.9452,538.3930,488.1888,814.2654,806.4792,727.5528,736.6094,710.6556,708.5082,642.0791,634.0277,572.9006,772.7422,770.6684,720.8976
12,553.9452,544.0307,513.0064,814.2654,801.7428,716.2246,736.6094,726.6130,593.6654,642.0791,640.8498,611.3464,772.7422,765.3935,720.8976
13,553.9452,548.2795,545.2617,814.2654,809.1329,727.5528,736.6094,712.3905,626.1439,642.0791,640.8498,611.3464,832.7772,769.0052,635.2353
14,553.9452,553.4099,547.2539,814.2654,800.3336,727.5528,742.0653,716.1268,626.1439,642.0791,636.9770,575.9912,832.7772,775.4712,720.8976
15,553.9452,553.9452,553.9452,814.2654,810.7969,727.5528,742.0653,718.3310,585.1925,642.0791,638.3912,611.3464,832.7772,779.9117,704.5481
16,553.9452,551.2924,487.6243,814.2654,803.3189,714.0277,742.0653,715.2695,585.1925,642.0791,639.6567,581.5187,832.7772,807.9643,704.0265
17,553.9452,553.9452,553.9452,814.2654,814.2654,814.2654,742.0653,722.9333,595.3757,642.0791,638.3912,611.3464,832.7772,822.2816,645.3433
18,553.9452,550.0167,517.2540,814.2654,793.4431,727.5528,742.0653,732.3808,611.2696,642.0791,635.1028,577.6423,832.7772,824.9762,772.7422
