generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
1,629.1568,387.2496,207.9400,933.8016,501.2993,200.9973,649.2079,456.0237,269.5724,8176.5255,1791.1204,200.9973,976.0521,524.7652,269.5724
2,629.1568,448.8421,221.7545,947.8898,694.4545,280.3308,649.2079,528.4430,245.6442,8176.5255,3247.1931,332.4558,976.0521,759.5861,319.8195
3,629.1568,505.8012,250.0571,947.8898,803.4318,274.0736,679.0503,577.9725,305.0498,8176.5255,4481.8588,346.6893,976.0521,853.0454,236.5002
4,699.0150,550.1189,376.8543,947.8898,871.0518,465.3194,679.0503,568.2672,281.5166,8176.5255,5245.9936,296.1343,976.0521,884.1356,380.5019
5,699.0150,604.7001,387.6597,947.8898,892.2271,624.6968,679.0503,617.9444,404.6384,8176.5255,4463.8687,268.4788,976.0521,922.4426,408.2363
6,699.0150,631.6057,392.5550,947.8898,907.5669,613.1803,701.7091,646.8580,307.8949,8176.5255,4471.3535,261.8543,976.0521,961.2562,803.9994
7,699.0150,655.0024,375.2842,947.8898,917.1869,526.9101,701.7091,664.2977,431.3247,8176.5255,4326.6437,331.8648,976.0521,960.9658,389.7148
8,699.0150,679.0688,571.9428,947.8898,927.3252,737.7484,711.6369,674.6499,519.0425,8176.5255,5874.1679,439.0276,976.0521,970.7479,851.0998
9,704.8145,690.4529,629.1568,947.8898,925.2358,830.3723,711.6369,686.2157,627.4047,8176.5255,4937.7406,336.0292,976.0521,971.1714,895.4527
10,704.8145,691.7151,661.9356,947.8898,925.5051,799.2547,731.7211,692.7100,595.9063,8176.5255,4795.7613,349.5174,976.0521,961.6896,853.9167
11,739.3226,688.3462,446.7714,947.8898,930.9622,834.7157,731.7211,692.2489,589.6094,8176.5255,6483.5477,367.7618,976.0521,969.9845,881.9032
12,739.3226,687.8437,592.0179,947.8898,931.1940,652.3474,731.7211,698.8606,644.3453,8176.5255,5568.1187,360.1051,976.0521,961.3426,820.7285
13,739.3226,681.6542,372.6204,947.8898,938.0166,872.5252,731.7211,709.8399,595.9063,8176.5255,5868.5627,320.2323,976.0521,965.8778,875.5203
14,739.3226,666.9318,375.2842,947.8898,941.0630,877.0584,731.7211,718.4954,661.3253,8176.5255,6026.2141,349.0275,976.0521,961.7646,775.8647
