generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
1,532.7488,392.7676,230.8929,721.8620,457.4441,180.9885,538.2666,384.6951,266.0074,496.3348,384.2633,180.9885,737.8811,444.7066,221.8912
2,532.7488,400.0685,227.3716,721.8620,556.8179,281.3958,538.2666,441.3484,315.1175,503.2549,436.2339,293.0398,737.8811,545.2819,278.4357
3,538.6135,458.8451,270.1743,721.8620,653.7475,342.0245,626.8096,475.7240,270.3207,532.5431,468.0815,314.6699,750.3453,634.9030,206.0194
4,538.6135,492.9504,311.2471,721.8620,698.5801,455.8239,626.8096,480.4455,282.5930,532.5431,464.3107,253.4197,750.3453,720.1761,416.8213
5,617.4134,528.3756,439.2971,721.8620,700.3597,565.6486,641.1884,533.1576,380.4941,545.4520,480.8955,326.9455,768.2950,717.7097,666.0454
6,621.3275,576.4163,538.6135,721.8620,710.5546,662.4641,641.1884,566.1342,430.0543,545.4520,483.7825,287.5598,792.4136,742.8340,667.2097
7,634.1953,614.7759,562.1105,721.8620,702.1841,462.1616,641.1884,595.7074,408.6769,545.4520,477.6653,347.7390,801.5125,738.4254,588.7847
8,634.1953,604.7337,510.6950,721.8620,704.8277,600.2432,653.4811,601.9602,463.1266,545.7516,522.8569,355.0660,801.5125,761.1584,680.9067
9,634.1953,606.7208,510.6950,721.8620,714.1699,673.5512,674.0960,622.9273,486.6515,545.7516,542.8835,480.6407,804.3332,786.3187,683.5962
10,634.1953,600.3163,510.6950,721.8620,714.4876,667.9297,674.0960,628.5215,449.7919,588.6982,539.7850,518.0372,804.3332,784.0968,657.0270
11,634.1953,608.6858,478.8082,721.8620,717.2881,683.1238,674.0960,657.4831,577.8318,588.6982,548.3320,509.6658,804.3332,772.1256,634.1486
12,634.1953,603.6007,438.0638,721.8620,711.0148,625.1984,674.0960,671.7656,641.1884,593.0020,569.7171,502.5866,804.3332,793.0004,709.7017
13,634.1953,622.4523,501.8002,721.8620,719.1217,686.7806,674.0960,671.7527,615.5132,593.0020,573.7739,498.8728,804.3332,800.8723,717.8102
14,634.1953,631.0874,595.3456,721.8620,716.2662,655.4634,674.0960,668.5980,615.7319,593.0020,576.9437,522.7928,804.3332,804.3332,804.3332
15,634.1953,627.9798,478.8082,721.8620,716.1961,654.4970,674.0960,655.8951,499.2817,593.0020,576.8399,534.8617,804.3332,800.2332,724.4409
16,634.1953,623.9439,494.3475,721.8620,714.2559,607.9224,674.0960,668.5222,540.5859,593.0020,581.7526,534.9610,804.3332,797.4114,717.8102
17,634.1953,629.5378,595.3456,721.8620,714.5221,666.0706,674.0960,669.4268,615.7319,593.0020,589.7397,539.1655,804.3332,797.3255,710.4136
18,661.4239,630.6225,595.3456,721.8620,708.9191,507.3893,674.0960,669.5511,614.1957,593.0020,592.8298,588.6982,804.3332,796.8196,710.4136
19,661.4239,637.0488,581.6449,721.8620,718.0176,637.1964,674.0960,671.1183,615.7319,593.0020,593.0020,593.0020,804.3332,800.5764,710.4136
20,661.4239,649.8459,595.3456,721.8620,715.6754,603.9577,674.0960,670.9326,615.7319,593.0020,582.8266,539.1655,804.3332,797.4217,710.4136
