instance,num_nodes,strategy,best,avg,worst,std,improvement_vs_baseline_%,greedy_reference,budget,evaluations_per_run
2obj_0050_04,50,baseline,658.2265,654.2305,518.9289,21.2239,0.00,,10000,10000
2obj_0050_04,50,cost,623.6098,620.7798,563.3742,12.3440,-5.11,545.73,10000,10000
2obj_0050_04,50,degree,671.5667,651.3983,453.2684,44.5796,-0.43,389.80,10000,10000
2obj_0050_04,50,dijkstra,665.5285,646.8543,427.5710,31.9862,-1.13,285.87,10000,10000
2obj_0050_04,50,hybrid,642.2160,636.1156,561.7212,18.7556,-2.77,492.32,10000,10000
2obj_0050_09,50,baseline,866.4921,858.2927,566.1242,41.3057,0.00,,10000,10000
2obj_0050_09,50,cost,758.4412,748.0331,467.5595,36.8276,-12.85,439.47,10000,10000
2obj_0050_09,50,degree,866.4921,857.2452,743.1534,25.1041,-0.12,371.75,10000,10000
2obj_0050_09,50,dijkstra,866.4921,863.3248,743.3146,15.7149,0.59,467.34,10000,10000
2obj_0050_09,50,hybrid,775.8124,767.4909,629.2813,26.1929,-10.58,551.14,10000,10000
2obj_0050_18,50,baseline,597.9304,595.0651,531.2220,11.3935,0.00,,10000,10000
2obj_0050_18,50,cost,597.9304,595.2897,542.1160,10.3321,0.04,519.13,10000,10000
2obj_0050_18,50,degree,597.3909,594.1796,525.6226,12.2323,-0.15,432.95,10000,10000
2obj_0050_18,50,dijkstra,603.0385,596.8660,511.3794,19.8985,0.30,425.24,10000,10000
2obj_0050_18,50,hybrid,597.9304,596.8425,547.2724,7.1051,0.30,521.71,10000,10000
2obj_0050_25,50,baseline,645.2574,642.0198,551.6272,14.2590,0.00,,10000,10000
2obj_0050_25,50,cost,645.2574,645.1042,629.9345,1.5246,0.48,522.47,10000,10000
2obj_0050_25,50,degree,645.2574,638.9692,523.0105,22.1935,-0.48,285.26,10000,10000
2obj_0050_25,50,dijkstra,645.6081,638.3770,505.7206,21.7828,-0.57,367.86,10000,10000
2obj_0050_25,50,hybrid,645.6081,645.0268,587.4712,5.7846,0.47,514.35,10000,10000
