generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
41,817.3357,786.7264,687.7805,934.9258,928.5827,824.4874,704.2106,698.7970,613.9840,759.2144,752.1477,669.7985,984.5819,947.9452,854.5345
42,817.3357,797.9104,687.7805,970.2888,922.8706,729.8614,704.2106,695.1879,613.9840,759.2144,747.3330,602.6504,984.5819,964.2532,860.1776
43,817.3357,797.3560,687.7805,970.2888,920.1828,823.5389,704.2106,686.3519,560.9374,759.2144,734.5137,602.5417,984.5819,965.7452,854.5345
44,817.3357,797.2764,676.6234,970.2888,930.1223,870.1236,704.2106,677.0244,523.5319,759.2144,738.2957,551.2996,988.0021,964.2024,843.5948
45,817.3357,801.1491,687.7805,989.7875,938.8320,836.2342,704.2106,676.3991,559.9235,759.2144,732.2122,567.3354,988.0021,956.9786,831.9566
46,817.3357,798.9150,696.7069,989.7875,941.7212,833.6264,704.2106,684.9765,560.9374,791.2711,734.6273,601.7347,988.0021,953.1012,825.7693
47,817.3357,794.4115,694.2357,989.7875,956.8783,795.1087,704.2106,680.6238,560.9374,807.3206,746.8363,629.1908,988.0021,951.7303,650.3072
48,817.3357,802.1972,696.7069,989.7875,968.0415,878.6960,704.2106,676.2955,560.9374,807.3206,736.1365,521.2120,988.0021,938.5623,744.6835
49,817.3357,794.8959,645.2551,989.7875,969.6028,891.9780,704.2106,675.8238,513.0368,807.3206,749.9224,587.6074,988.0021,952.4722,801.3287
50,817.3357,780.0217,696.7069,998.7139,971.0189,833.1819,704.2106,675.4854,560.9374,807.3206,769.5195,602.6504,988.0021,959.8131,726.9617
51,817.3357,788.6120,696.7069,1000.7853,970.4724,837.2035,704.2106,679.2043,560.9374,807.3206,795.6265,668.3442,988.0021,968.2906,768.7964
52,817.3357,789.5629,696.7069,1000.7853,975.5047,872.4792,704.9008,684.3571,560.9374,807.3206,789.1751,601.7347,988.0021,972.4428,854.5345
