generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
1,512.7351,304.5866,170.1406,578.2239,352.5796,185.4162,470.0304,297.4746,135.7275,470.0304,318.1280,135.7275,568.7346,340.4815,148.3466
2,512.7351,332.4267,209.3535,578.2239,449.3668,165.2614,528.0457,326.0004,172.3640,528.0457,322.8005,201.4514,571.5813,425.5245,220.8160
3,512.7351,365.9744,202.5771,584.3682,497.6068,207.1114,542.5145,362.2438,161.9884,542.5145,351.5068,189.0360,571.5813,472.8953,210.5492
4,512.7351,369.1235,171.1874,584.3682,526.1409,392.2678,542.5145,391.0716,252.0128,542.5145,369.5939,203.1520,571.5813,509.2635,225.6939
5,542.0746,400.0858,217.2050,584.3682,541.6401,428.9061,578.1498,411.0595,220.1151,594.6685,399.5866,196.2055,571.5813,531.8968,346.3408
6,543.5257,407.8857,173.4787,584.3682,549.8201,460.4018,578.1498,446.3920,270.8112,596.3167,446.8125,245.9964,595.1807,542.6754,402.1207
7,558.3386,427.4996,227.9032,584.3682,555.6922,495.3022,578.1498,475.3500,307.4803,596.3167,473.9674,232.7310,603.4679,552.7987,432.8061
8,558.3386,455.9970,253.3094,584.3682,562.5936,490.6767,593.9589,511.6143,334.0793,645.6081,509.4224,234.9994,612.3259,558.5351,463.8070
9,589.8636,475.2946,319.7174,601.2910,566.9306,440.7490,593.9589,526.0818,329.0281,645.6081,541.9761,342.3563,612.3259,563.9823,514.3546
10,596.9489,494.9793,376.0308,601.2910,573.5654,509.7028,617.5950,551.5705,440.7335,645.6081,567.6320,396.0671,612.3259,573.8382,514.3546
11,606.2175,510.3243,386.9017,601.2910,574.6682,460.4018,620.6131,564.0432,460.7570,645.6081,578.5294,451.8308,612.3259,583.3657,514.3546
12,606.2175,509.1069,301.4126,601.2910,574.7212,511.9792,620.6131,572.0697,449.9059,645.6081,584.6194,415.1335,612.3259,592.8350,514.3546
13,606.2175,520.5014,412.6718,601.2910,574.1744,460.4018,626.3042,572.2682,394.9186,645.6081,597.5691,473.3703,612.3259,594.9237,514.3546
14,606.2175,523.9648,340.7454,601.2910,573.4575,458.7431,628.7290,574.7883,459.3704,645.6081,599.7403,510.7948,612.3259,596.2496,541.5664
15,606.2175,537.1545,399.9750,601.2910,574.9029,504.5018,636.8989,582.7996,454.2900,645.6081,610.6097,470.0776,612.3259,605.5389,504.2860
16,606.2175,551.7672,386.8210,601.2910,578.0177,460.4018,636.8989,577.0824,457.3434,645.6081,626.6469,468.9677,627.8632,604.3286,501.7664
17,606.2175,564.9164,398.7990,601.2910,581.8158,460.4018,636.8989,579.5111,400.9309,645.6081,625.4899,484.0150,627.8632,609.1225,549.0879
18,606.2175,588.2976,405.1463,616.5462,589.9217,514.6367,636.8989,587.2371,438.2553,645.6081,630.6047,459.9818,627.8632,612.2057,528.5736
19,606.2175,595.5681,443.2138,616.5462,593.1920,462.0706,636.8989,597.4700,462.2723,645.6081,633.9900,494.8978,634.1807,614.2816,519.3975
20,606.2175,601.7927,532.1324,616.5462,597.3215,522.4704,636.8989,608.7403,485.8409,645.6081,639.4828,458.2914,634.1807,619.8562,541.4258
21,609.3577,602.9262,542.8961,616.5462,598.3486,511.0379,636.8989,610.1795,470.9412,645.6081,639.6630,510.3541,634.1807,623.0606,547.0625
22,609.3577,602.3565,553.6774,631.8691,600.0410,511.6188,636.8989,615.3541,506.3884,645.6081,641.1688,503.7189,634.1807,620.2628,555.3051
23,609.3577,602.2812,523.5595,631.8691,605.4984,540.6594,645.2574,617.9262,478.2793,645.6081,636.0145,485.0369,634.1807,621.0109,487.1408
24,609.3577,601.8426,500.6879,631.8691,612.7399,563.0274,645.2574,624.2329,541.1076,645.6081,631.9733,504.8443,634.1807,617.7654,542.3902
25,609.4250,602.2021,501.4486,631.8691,619.8009,548.7290,645.2574,629.1068,530.3387,645.6081,635.2671,507.1843,634.1807,623.9583,539.2690
26,609.4250,601.5245,468.5371,631.8691,622.1566,517.8728,645.2574,631.4573,549.8046,645.6081,629.1566,454.6462,634.1807,624.9818,526.8062
27,622.7460,601.2009,497.9061,631.8691,628.6380,569.2428,645.2574,634.8011,526.8410,645.6081,638.9317,563.8506,634.1807,630.3485,560.9999
28,622.7460,606.3604,560.7595,631.8691,627.5151,539.7321,645.2574,636.5146,566.7325,645.6081,635.4383,557.9868,634.1807,632.7918,572.0326
29,622.7460,603.6055,480.7596,631.8691,629.3658,556.3985,645.2574,639.2059,566.7325,645.6081,638.8410,543.7135,634.1807,628.2339,514.8439
30,622.7460,606.3045,535.8508,631.8691,627.6693,522.4704,645.2574,641.6150,566.7325,645.6081,639.0170,556.7716,634.1807,633.4742,589.0275
31,622.7460,608.0077,541.7689,631.8691,630.9464,573.7322,645.2574,643.1583,561.5051,645.6081,633.9524,537.8179,634.1807,631.2283,514.2066
32,622.7460,609.7764,536.0916,631.8691,630.8766,572.4273,645.2574,644.4757,615.7730,645.6081,636.7225,563.8506,634.1807,630.6018,493.8546
33,622.7460,611.7103,511.1401,631.8691,630.1558,558.4903,645.2574,642.6879,566.7325,645.6081,640.4397,537.8565,634.1807,628.9958,514.8439
34,622.7460,613.4484,526.0753,631.8691,629.8986,570.3150,645.2574,642.1467,566.7325,645.6081,639.0053,557.9868,634.1807,626.7986,514.8439
35,622.7460,615.1456,485.4176,631.8691,629.5479,573.7322,645.2574,641.8694,539.7278,645.6081,633.9116,500.2607,634.1807,631.7541,510.8495
36,622.7460,616.7183,548.0806,645.2574,630.5561,573.7322,645.2574,641.0155,544.5528,645.6081,635.7211,514.6888,634.1807,631.8155,514.8439
37,629.9345,618.8889,535.5354,645.2574,630.5281,579.3290,645.2574,641.1411,540.1977,645.6081,636.4011,464.2160,634.1807,632.1134,542.2637
38,629.9345,618.5898,513.2214,645.2574,630.3690,550.1185,645.2574,641.9494,566.7325,645.6081,636.9638,519.7702,634.1807,632.6732,526.7166
39,629.9345,619.9484,510.8526,645.2574,631.1609,571.5250,645.2574,642.8815,572.8598,645.6081,633.7376,500.6287,634.1807,631.3290,552.4232
40,629.9345,623.4677,569.3663,645.2574,632.9621,573.7322,645.2574,644.3189,566.7325,645.6081,636.0964,522.5942,634.1807,630.3159,514.8439
41,629.9345,623.8564,481.9105,645.2574,633.9602,583.6969,645.2574,639.7888,544.5528,645.6081,631.6410,494.3225,634.1807,631.3176,514.8439
42,629.9345,625.4141,572.6934,645.2574,637.6296,592.0554,645.2574,641.7439,549.7307,645.6081,630.8681,405.2435,634.1807,630.2939,514.8439
