generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
1,459.5160,342.2785,187.8787,776.6680,412.9756,178.3376,438.2828,352.1627,250.5817,445.3185,343.7288,257.3804,692.7834,416.6314,225.3715
2,459.5160,390.9864,225.0319,776.6680,587.5097,176.4516,616.3158,395.3742,201.5053,505.3075,397.9328,275.6141,692.7834,519.6095,209.5915
3,461.0842,404.2764,230.1593,776.6680,676.7359,240.2296,616.3158,415.1509,185.6195,505.3075,411.3878,231.0441,734.5430,630.8535,325.9061
4,473.4232,448.7298,286.7310,776.6680,721.8976,308.3477,616.3158,470.9201,258.1050,506.0153,468.5077,311.6013,734.5430,689.4735,604.8449
5,473.4232,462.8620,459.5160,776.6680,755.6412,531.2192,616.3158,565.2901,380.9833,506.0153,449.4162,289.0482,734.5430,690.0805,503.8118
6,473.4232,472.4361,461.0842,776.6680,761.9701,680.0499,616.3158,609.3679,442.6167,519.8021,483.0307,356.4023,734.5430,708.5860,621.2287
7,473.4232,473.3111,470.6188,776.6680,769.1502,653.9605,616.3158,614.9546,582.2846,519.8021,494.4648,410.6199,734.5430,710.0380,497.9423
8,473.4232,473.4232,473.4232,776.6680,768.3169,650.6486,616.3158,610.1829,544.8441,543.0873,511.2899,446.9192,734.5430,724.4351,663.4453
9,477.7893,473.7725,473.4232,776.6680,773.0986,709.1799,616.3158,614.9546,582.2846,543.0873,525.5749,446.9192,734.5430,734.5430,734.5430
10,477.7893,475.1986,456.3204,776.6680,768.2069,680.0499,616.3158,613.5933,582.2846,543.0873,527.8513,446.9192,734.5430,734.1222,724.0229
11,477.7893,469.5011,399.3969,776.6680,775.7982,754.9219,616.3158,608.9819,550.7602,543.0873,527.8750,403.7202,734.5430,728.8462,657.7820
12,477.7893,469.2018,456.3204,776.6680,764.3865,617.3503,620.1088,613.4995,576.1447,543.0873,533.9924,451.0641,734.5430,730.1105,682.8393
13,477.7893,470.0605,456.3204,776.6680,774.5635,754.9219,620.1088,614.2987,569.5746,543.0873,528.8602,439.8023,734.5430,733.7014,724.0229
14,477.7893,472.3394,406.2214,776.6680,776.6680,776.6680,620.1088,607.7061,533.2995,543.0873,526.6533,451.0641,734.5430,733.7014,724.0229
15,505.3693,473.6389,456.0460,776.6680,775.4743,746.8260,654.1400,613.4262,582.2846,543.0873,527.5473,448.5179,734.5430,732.1164,684.3976
16,554.8013,495.4734,456.3204,776.6680,776.6680,776.6680,654.1400,618.8209,587.4726,543.0873,524.1039,422.7351,734.5430,730.2209,626.4910
