generation,baseline_best,baseline_avg,baseline_worst
1,545.7834,403.4252,224.0931
2,584.1589,450.2040,277.9744
3,615.7083,480.5129,233.9441
4,615.7083,483.7181,291.0492
5,615.7083,515.0279,310.0116
6,615.7083,521.8459,305.4992
7,615.7083,523.7470,271.7555
8,615.7083,583.4598,262.6840
9,615.7083,598.5438,371.5282
10,615.7083,607.3396,564.0590
11,615.7083,606.3475,505.2726
12,615.7083,601.5030,544.2309
13,615.7083,606.3116,546.8197
14,615.7083,608.8467,558.7112
15,625.8156,612.0916,567.8071
16,650.0479,608.7213,513.4364
17,650.0479,609.1186,555.1403
18,650.0479,614.0540,449.3258
19,650.0479,627.1086,555.1403
20,650.0479,631.1406,548.3300
21,650.0479,636.6828,581.1593
22,650.0479,642.8284,581.1593
23,650.0479,646.4718,614.2873
24,650.0479,647.7451,614.2873
25,650.0479,644.4191,537.4155
26,650.0479,645.3520,581.1593
27,650.0479,644.2904,573.2987
28,650.0479,647.8407,614.2873
29,650.0479,645.7216,574.0671
30,650.0479,646.3562,589.4799
31,650.0479,643.1078,581.1593
32,650.0479,645.7566,614.2873
33,650.0479,644.6910,572.5623
34,650.0479,645.4729,600.0997
35,654.0180,647.9817,614.2873
36,654.0180,648.8528,606.2043
37,654.0180,646.4073,583.2716
38,654.0180,647.5870,614.2873
39,654.0180,648.4532,598.1908
40,654.0180,649.1303,598.1908
41,654.0180,651.6490,614.2873
42,654.0180,651.2827,568.8970
43,654.0180,650.3569,581.1593
44,676.9423,650.3867,583.5528
45,676.9423,650.4885,585.1293
46,676.9423,646.1170,585.1293
47,676.9423,653.6111,593.4499
48,676.9423,666.0877,545.7692
49,676.9423,671.7890,618.2574
50,676.9423,675.1182,618.2574
51,676.9423,674.1752,597.2719
52,676.9423,673.1156,602.9786
53,676.9423,676.9423,676.9423
54,676.9423,670.9264,493.5156
55,723.9598,666.1045,550.8231
56,723.9598,657.4953,580.2805
57,723.9598,672.8867,585.1293
58,723.9598,673.7253,583.9178
59,723.9598,690.1691,585.1293
60,723.9598,704.6836,582.4274
61,723.9598,705.5848,598.4200
62,723.9598,707.8535,593.4499
63,723.9598,707.5505,585.1293
64,723.9598,703.5277,588.1670
65,723.9598,709.5467,643.7703
66,731.8189,709.4501,621.4320
67,731.8189,714.6082,633.7501
68,731.8189,709.3757,643.7703
69,731.8189,717.2261,643.7703
70,731.8189,722.1420,643.7703
71,731.8189,725.9073,643.7703
72,781.8207,722.8818,651.6294
73,781.8207,722.2314,595.8022
74,781.8207,735.8361,660.6099
75,781.8207,741.3023,633.4016
76,781.8207,751.5780,651.6294
77,781.8207,760.2533,673.4452
78,781.8207,761.9943,651.6294
79,781.8207,768.8368,664.8221
80,781.8207,767.3655,673.0968
81,781.8207,773.8018,701.6312
82,781.8207,768.3099,667.6042
83,781.8207,769.4777,701.6312
84,781.8207,775.8367,701.6312
85,781.8207,772.1980,701.6312
86,781.8207,773.8018,701.6312
87,781.8207,775.4056,701.6312
88,781.8207,775.1722,701.6312
89,781.8207,775.4056,701.6312
90,781.8207,776.3226,701.6312
91,781.8207,778.7035,701.6312
92,781.8207,772.4227,641.0451
93,781.8207,775.6504,701.6312
94,781.8207,773.7497,618.8363
95,787.7672,765.3663,638.7905
96,787.7672,765.6989,635.1001
97,787.7672,760.2582,539.3116
98,787.7672,759.1129,632.7966
99,787.7672,753.5081,632.7966
100,787.7672,761.6080,604.7989
101,809.2882,765.7065,651.0143
102,809.2882,761.0594,679.0433
103,809.2882,777.4616,707.5777
104,809.2882,776.0846,651.4609
105,809.2882,780.8090,707.5777
106,809.2882,788.7437,661.4349
107,809.2882,800.9156,707.5777
108,809.2882,796.2572,689.7386
109,809.2882,791.7849,667.7558
110,809.2882,789.2435,707.5777
111,809.2882,793.4252,692.0815
112,809.2882,800.4084,729.0987
113,809.2882,787.0372,707.5777
114,809.2882,793.9689,657.7359
115,809.2882,789.2599,653.7956
116,809.2882,790.2735,653.8795
117,809.2882,794.5105,660.2641
118,809.2882,793.0985,629.9642
119,809.2882,787.4164,660.2641
120,809.2882,788.1653,660.2641
121,809.2882,783.1643,662.4452
122,809.2882,792.1146,666.0032
123,809.2882,786.0842,592.1229
124,809.2882,792.7678,569.1268
125,809.2882,794.6995,660.2641
126,809.2882,785.7637,558.6120
127,809.2882,784.6370,662.4452
128,809.2882,786.6357,662.4452
129,809.2882,789.5745,660.2641
130,809.2882,798.1547,660.2641
131,811.5685,796.7671,626.8335
132,811.5685,792.6700,660.2641
133,811.5685,792.5073,660.2641
134,811.5685,790.2813,646.5326
135,811.5685,795.3750,578.7924
136,811.5685,791.9558,679.5584
137,811.5685,800.4758,721.2396
138,811.5685,802.1677,702.8445
139,811.5685,797.6934,658.1404
140,811.5685,794.7136,662.5444
141,811.5685,794.0448,631.6204
142,811.5685,792.8078,638.2135
143,811.5685,791.3495,607.5896
144,811.5685,797.1229,703.3311
145,811.5685,797.1656,585.5618
146,811.5685,800.5691,662.5444
147,811.5685,793.9224,633.5724
148,811.5685,795.8609,617.8402
149,811.5685,798.1040,689.6978
150,811.5685,789.0970,635.1370
151,811.5685,793.8882,613.9287
152,811.5685,768.9850,511.8672
153,811.5685,784.7172,597.9633
154,811.5685,793.8161,619.2164
155,811.5685,796.1884,650.3870
156,811.5685,780.3325,637.6146
157,811.5685,795.2888,673.5280
158,811.5685,800.2577,626.0424
159,811.5685,788.9614,571.0181
160,811.5685,791.0598,673.5280
161,815.8425,784.3435,626.0424
162,815.8425,781.7776,588.0264
163,837.3301,788.0125,673.5280
164,837.3301,795.9410,589.9943
165,837.3301,802.6246,661.7061
166,837.3301,800.6876,663.9751
167,837.3301,822.0395,691.6455
168,837.3301,828.5104,769.7262
169,837.3301,830.2845,757.1406
170,837.3301,829.0344,757.1406
171,837.3301,826.7326,757.1406
172,837.3301,825.7805,757.1406
173,837.3301,834.1225,757.1406
174,837.3301,837.3301,837.3301
175,837.3301,833.2889,715.4594
176,837.3301,825.6790,715.4594
177,837.3301,824.3003,684.4961
178,837.3301,821.2289,673.7866
179,837.3301,821.1712,670.9018
180,837.3301,827.9215,699.3229
181,837.3301,830.6186,757.1406
182,837.3301,828.6893,715.4594
183,837.3301,832.8446,724.3974
184,837.3301,832.5187,757.1406
185,837.3301,824.7890,715.4594
186,837.3301,837.3301,837.3301
187,837.3301,830.0813,715.4594
188,838.2076,834.1401,757.1406
189,838.2076,831.4176,699.4495
190,838.2076,830.8055,757.1406
191,838.2076,826.5529,731.3457
192,838.2076,832.4918,757.1406
193,838.2076,836.3581,757.1406
194,838.2076,826.2996,716.3369
195,838.2076,826.8361,757.1406
196,838.2076,826.7329,712.3668
197,838.2076,823.4017,715.4594
198,838.2076,824.5261,716.3369
199,838.2076,825.1934,715.4594
200,838.2076,830.2021,716.3369
