generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
1,486.1143,326.6744,181.1656,530.3883,375.6483,200.2409,471.3522,330.5845,198.2144,476.4613,349.6270,200.2409,538.2151,371.2174,200.2409
2,503.2034,352.4084,185.6145,540.2262,420.6877,202.7182,498.6363,357.5820,206.6199,488.9835,363.4494,195.4769,549.2975,408.3609,211.1127
3,518.1728,366.3932,203.5953,549.2372,445.0893,219.0740,527.6195,370.8655,210.0751,509.3693,365.8624,199.9058,549.2975,437.3394,244.6678
4,527.0452,374.9118,203.6296,555.0488,458.6678,233.2448,534.9888,380.6138,205.9907,512.1716,371.6683,197.6647,553.5796,449.8003,256.3758
5,530.1946,380.5295,208.0531,560.9863,464.2495,220.7832,547.9485,385.4388,208.0983,517.1609,375.2597,182.2104,555.1378,458.6227,288.3932
6,532.4738,383.2026,213.3501,563.1365,467.5385,285.7310,549.8300,389.5039,210.5354,530.7192,384.8429,194.9341,556.8557,459.9425,305.4481
7,532.7984,389.0494,206.2331,567.1585,468.7094,295.1769,557.0092,390.3898,199.0823,534.3870,392.4846,214.9213,556.8557,464.4925,300.8727
8,541.7126,396.2703,217.3583,572.5801,472.3482,278.3011,557.0092,394.0644,210.0110,537.3425,393.3727,215.4209,558.6845,465.5588,270.4920
9,542.1622,403.0822,215.1192,576.1218,467.5170,259.6252,561.3525,402.2779,219.2996,537.9058,391.9068,201.7675,560.4992,465.7205,303.4693
10,550.4001,412.1283,234.1917,582.1135,471.5301,276.1803,561.3525,411.8031,217.6625,545.8773,396.3876,208.8217,560.4992,470.2971,311.1014
11,550.4001,415.3033,225.4086,585.7611,473.6066,290.5599,563.6000,411.5768,207.3593,546.2910,400.5537,227.3492,560.4992,472.5675,318.5209
12,554.0063,415.9741,221.6916,587.2029,474.7892,275.4347,564.5232,412.3887,225.1338,548.0866,408.0648,219.2907,563.9863,479.2969,313.1859
13,554.0775,419.7990,241.8068,587.7542,475.4916,258.3055,564.7166,419.3659,243.8352,553.3498,415.7700,240.8141,567.7839,480.5441,305.1419
14,555.1543,421.3971,247.5020,587.7542,473.0965,268.4764,564.7166,425.9875,237.2622,555.1798,418.2400,230.4637,567.7839,482.7195,299.0415
15,555.1786,423.5196,247.2976,587.7542,479.3925,282.1889,568.5058,432.9173,245.3066,557.8096,421.5731,230.3487,568.9480,484.5399,313.8810
16,557.2171,431.5766,258.1009,588.1440,483.9733,265.1596,569.0896,440.1886,259.4686,558.7719,423.8042,228.3581,573.4580,488.1013,310.0267
17,559.3442,432.8933,251.5723,588.4985,488.9617,303.5897,573.4992,450.7621,274.2460,562.3880,430.1976,233.5396,575.0796,492.6909,323.9262
18,559.9658,434.2295,260.9668,588.4985,493.2964,298.6951,574.5897,456.0214,256.3090,564.3698,433.6123,236.0970,575.0796,496.2615,350.9260
