generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
1,377.0544,205.1989,67.2228,446.0639,252.0691,44.3335,419.2444,235.8802,75.3240,532.5467,263.6627,97.5617,551.1388,277.4323,38.8199
2,433.7433,241.8242,57.5254,459.6193,323.5649,77.2290,515.4948,299.5452,77.0251,532.5467,336.0119,89.0391,556.5237,354.4513,51.8116
3,461.9353,267.9798,29.6851,504.3676,386.8551,148.9208,515.4948,357.3097,119.6411,532.5467,404.5261,142.8743,556.5237,428.8855,134.9160
4,467.4705,289.2019,90.7516,504.3676,422.1594,236.0205,532.9992,375.6734,110.7700,548.1951,461.5005,165.2199,556.5237,498.8770,224.8109
5,490.2616,318.7879,88.3458,536.3169,425.5883,285.5180,533.5357,395.1821,201.8189,548.1951,495.8289,221.4792,570.2204,536.0293,396.3123
6,490.2616,357.0112,135.4959,550.2611,439.7605,269.3932,533.5357,413.0646,195.0816,548.1951,519.6947,371.0418,588.0724,549.6846,452.2320
7,600.1116,400.5700,190.3494,550.2611,440.2826,283.5263,579.9191,417.7681,227.9985,548.1951,532.9156,467.3407,588.0724,551.6489,425.2622
8,600.1116,424.4998,268.2232,560.0431,457.5342,261.7049,631.3940,453.0823,201.0705,548.1951,536.4626,467.3407,593.4573,555.1431,453.4272
9,600.1116,443.6339,208.7327,606.9368,484.6270,232.6040,631.3940,471.6904,173.3994,548.1951,539.5729,331.3814,593.4573,561.9829,452.2320
10,627.6347,481.0585,241.9778,620.8810,509.4964,295.6467,656.9675,479.5126,262.6604,588.8452,543.4214,428.4204,593.4573,566.2397,442.6347
11,666.3187,504.7695,295.1239,634.6761,533.2750,350.1082,741.0123,508.6791,265.9391,602.7183,547.2797,427.0324,593.4573,571.3461,452.0312
12,666.3187,533.3199,328.6705,634.6761,552.4551,333.1864,741.0123,534.3815,302.1779,602.7183,549.3670,430.6140,593.4573,581.0448,463.0363
13,680.2996,544.1373,316.1616,634.6761,568.3003,411.0176,741.0123,551.1013,212.3876,602.7183,564.9091,481.1374,608.9045,585.5383,451.1119
14,718.2708,575.3811,357.7680,634.6761,590.8910,443.8518,745.1413,553.8464,230.4673,602.7183,579.7332,524.9582,608.9045,591.6914,447.9888
15,732.2516,609.0110,361.9253,634.6761,609.0812,489.6256,748.6277,589.9387,331.6691,602.7183,588.2520,462.8650,608.9045,593.3891,519.8117
16,732.2516,653.8035,418.3200,635.6993,623.2860,476.0628,748.6277,607.8963,270.0654,602.7183,591.1833,393.7393,608.9045,597.6451,468.3301
17,788.6609,686.2122,490.6908,635.6993,628.9310,479.8350,773.5883,654.1071,437.2091,619.0957,598.1612,524.9582,608.9045,603.2883,468.9536
18,788.6609,715.7172,445.7543,635.6993,625.6025,448.0791,773.5883,665.6554,406.4834,619.0957,595.9091,394.8374,626.7564,604.1417,485.6103
19,788.6609,736.8531,523.5316,635.6993,630.8423,556.8449,821.9100,698.2696,466.2163,619.0957,598.1151,493.3881,626.7564,605.3491,466.9271
20,788.6609,756.7725,649.3094,635.6993,633.3697,570.5645,821.9100,718.5996,434.2835,619.0957,605.2193,531.4672,632.1478,607.5997,480.8602
21,788.6609,773.3440,472.7525,635.6993,633.4692,557.8681,821.9100,732.9285,560.1408,619.0957,605.7766,494.8945,632.1478,613.7440,480.8602
22,788.6609,776.6683,473.7789,635.6993,633.3679,564.4482,821.9100,741.6907,502.7147,619.0957,608.9720,428.3017,632.1478,618.2381,484.4110
