generation,baseline_best,baseline_avg,baseline_worst
1,575.7820,403.2031,212.3436
2,624.5754,468.3900,342.6735
3,624.5754,508.7519,346.0536
4,640.8617,541.9142,320.1504
5,710.8461,591.4367,417.1087
6,710.8461,609.2821,313.9983
7,710.8461,610.6038,423.8181
8,710.8461,620.2758,285.4237
9,728.0183,648.3836,361.6046
10,728.0183,660.1803,313.9983
11,728.0183,635.1898,332.0835
12,728.0183,626.9878,421.0205
13,728.0183,678.5900,399.2738
14,728.0183,717.1757,456.9529
15,728.0183,728.0183,728.0183
16,728.0183,724.3485,636.2752
17,728.0183,722.1299,580.8095
18,728.0183,726.2420,683.6122
19,728.0183,728.0183,728.0183
20,728.0183,728.0183,728.0183
21,728.0183,724.1284,630.7717
22,728.0183,710.5476,599.2519
23,728.0183,723.0903,666.4181
24,728.0183,721.4137,615.7080
25,728.0183,725.9061,675.2143
26,728.0183,724.6686,644.2769
27,728.0183,717.8724,597.5716
28,728.0183,723.0903,666.4181
29,728.0183,725.4917,666.4181
30,728.0183,728.0183,728.0183
31,759.8644,721.6102,597.5716
32,759.8644,727.8091,646.1963
33,773.3053,741.4171,706.9800
34,773.3053,749.1017,580.8095
35,773.3053,765.2759,706.9800
36,773.3053,768.5993,736.3009
37,773.3053,767.5006,681.9511
38,773.3053,769.0612,707.5262
39,773.3053,773.3053,773.3053
40,773.3053,770.6522,706.9778
41,773.3053,773.3053,773.3053
42,773.3053,763.9323,605.3070
43,773.3053,763.9120,706.9778
44,773.3053,772.0258,741.3184
45,773.3053,761.4241,638.1313
46,773.3053,765.2928,638.1313
47,773.3053,757.0677,654.8347
48,773.3053,755.8841,586.3746
49,773.3053,769.0532,706.9778
50,773.3053,761.7620,683.7061
51,773.3053,754.2296,629.1289
52,773.3053,760.6062,668.7171
53,773.3053,754.7336,706.9778
54,773.3053,760.6428,638.1313
55,773.3053,751.9498,638.1313
56,773.3053,741.7583,638.1313
57,773.3053,751.0470,681.8885
58,773.3053,767.9991,706.9778
59,773.3053,762.7816,642.8685
60,773.3053,770.6522,706.9778
61,773.3053,772.9416,764.2127
62,773.3053,760.2998,654.8347
63,773.3053,770.9344,721.4607
64,773.3053,773.3053,773.3053
65,773.3053,753.3952,553.6087
66,773.3053,753.6461,638.1313
67,773.3053,764.3751,638.1313
68,773.3053,763.6249,684.5774
69,773.3053,761.8678,706.9778
70,773.3053,765.3460,706.9778
71,773.3053,762.4914,638.1313
72,773.3053,764.3424,615.5611
73,773.3053,757.3867,706.9778
74,773.3053,765.3460,706.9778
75,777.4601,766.3033,660.3400
76,785.0405,757.6236,616.5832
77,785.0405,756.7931,638.1313
78,785.0405,760.8192,619.7158
79,785.0405,772.0881,616.2096
80,785.0405,781.6148,718.7131
81,785.0405,779.5630,718.7131
82,785.0405,782.0426,741.1427
83,785.0405,774.0481,663.3074
84,785.0405,771.2043,617.9553
85,785.0405,785.0405,785.0405
86,785.0405,785.0405,785.0405
87,785.0405,785.0405,785.0405
88,785.0405,782.3874,718.7131
89,785.0405,785.0405,785.0405
90,785.0405,781.3839,693.6238
91,785.0405,782.3874,718.7131
92,785.0405,785.0405,785.0405
93,785.0405,782.3874,718.7131
94,785.0405,782.3874,718.7131
95,785.0405,779.7343,718.7131
96,785.0405,784.2114,764.3129
97,785.0405,785.0405,785.0405
98,785.0405,784.5027,771.5936
99,785.0405,785.0405,785.0405
100,785.0405,785.0405,785.0405
101,785.0405,782.3874,718.7131
102,785.0405,785.0405,785.0405
103,785.0405,779.7343,718.7131
104,785.0405,776.6118,718.7131
105,785.0405,779.7343,718.7131
106,829.4920,780.5088,693.6238
107,829.4920,795.2395,773.3053
108,829.4920,814.6658,669.0638
109,829.4920,822.9359,773.3053
110,829.4920,826.4677,763.1646
111,829.4920,819.3369,697.3469
112,829.4920,809.1410,707.7590
113,829.4920,809.0549,705.6067
114,829.4920,815.5541,707.7590
115,829.4920,815.4610,700.3453
116,829.4920,821.9786,763.1646
117,829.4920,820.0346,713.5153
118,829.4920,825.8354,738.0753
119,829.4920,826.8390,763.1646
120,829.4920,816.4552,636.2261
121,829.4920,819.2352,763.1646
122,829.4920,818.4633,686.4288
123,829.4920,801.6186,707.7590
124,829.4920,821.5328,763.1646
125,829.4920,824.1859,763.1646
126,829.4920,817.3164,763.1646
127,829.4920,821.5898,698.2642
128,829.4920,808.8590,635.5780
129,829.4920,809.1410,707.7590
130,829.4920,800.5547,681.1609
131,829.4920,814.4730,698.2642
132,829.4920,823.1692,737.7489
133,829.4920,815.6599,616.3422
134,829.4920,813.7922,635.9790
135,829.4920,821.5328,763.1646
136,829.4920,826.1877,763.1646
137,829.4920,824.1859,763.1646
138,829.4920,821.6236,699.1083
139,829.4920,826.8390,763.1646
140,839.7555,829.9026,829.4920
141,839.7555,816.4410,707.7590
142,839.7555,824.6234,758.7287
143,839.7555,836.8339,787.2435
144,839.7555,837.6550,787.2435
145,839.7555,837.5853,785.5011
146,839.7555,834.4000,773.4280
147,839.7555,837.1024,773.4280
148,839.7555,836.5066,758.5348
149,839.7555,835.5297,773.4280
150,839.7555,834.2227,773.4280
151,839.7555,839.7555,839.7555
152,839.7555,837.1024,773.4280
153,839.7555,831.6642,770.1278
154,839.7555,825.7902,755.2751
155,839.7555,839.7555,839.7555
156,839.7555,834.4493,773.4280
157,839.7555,833.9905,761.9593
158,839.7555,837.1024,773.4280
159,839.7555,827.2507,727.3483
160,839.7555,839.7555,839.7555
161,841.0802,818.3460,703.8003
162,841.0802,839.8938,835.2646
163,841.0802,823.5952,666.8011
164,841.0802,835.7027,718.5660
165,841.0802,840.6563,839.7555
166,841.0802,830.0307,631.1689
167,841.0802,833.6541,729.8055
168,841.0802,840.7582,833.0300
169,841.0802,834.1307,766.6589
170,841.0802,838.4271,774.7528
171,841.0802,838.4271,774.7528
172,841.0802,835.7210,774.7528
173,841.0802,828.0960,745.0317
174,841.0802,833.0382,706.3560
175,841.0802,830.9232,706.3560
176,841.0802,835.2430,695.1493
177,841.0802,826.3982,706.3560
178,841.0802,827.5422,696.8737
179,841.0802,822.4866,774.2055
180,841.0802,833.1209,774.7528
181,841.0802,829.4739,749.9040
182,841.0802,814.7574,527.0694
183,841.0802,826.9958,641.2266
184,841.0802,840.7582,833.0300
185,841.0802,841.0802,841.0802
186,841.0802,841.0802,841.0802
187,841.0802,838.8245,784.6882
188,841.0802,838.4271,774.7528
189,841.0802,833.3105,774.7528
190,841.0802,828.8943,602.7602
191,841.0802,825.2212,709.9154
192,841.0802,819.3597,698.1003
193,841.0802,830.0058,696.8737
194,841.0802,833.1209,774.7528
195,841.0802,835.7740,774.7528
196,841.0802,834.7593,749.3856
197,841.0802,829.2404,744.0658
198,841.0802,831.4596,733.2198
199,841.0802,825.4159,696.8737
200,841.0802,829.9505,761.8202
201,841.0802,832.1067,716.4137
202,841.0802,835.7740,774.7528
203,841.0802,838.4271,774.7528
204,841.0802,827.7332,663.2350
205,841.0802,829.6393,687.7111
206,841.0802,841.0802,841.0802
207,841.0802,837.3854,748.7087
208,841.0802,835.3120,696.8737
209,841.0802,831.3545,730.5914
210,841.0802,835.4879,767.5988
211,841.0802,830.0058,696.8737
212,841.0802,838.4271,774.7528
213,856.5630,839.0464,774.7528
214,856.5630,832.4830,696.8737
215,856.5630,837.6497,774.7528
216,856.5630,843.9734,747.4958
217,856.5630,841.5308,644.8467
218,856.5630,844.0630,682.1474
219,856.5630,853.9695,791.7256
220,856.5630,853.9099,790.2355
221,856.5630,850.0286,693.2023
222,891.5868,855.3109,790.2355
223,891.5868,860.5397,818.5339
224,891.5868,870.8155,765.5145
225,891.5868,872.6115,825.2593
226,891.5868,880.5566,818.5339
227,891.5868,874.7653,802.6874
228,891.5868,876.7595,709.8008
229,891.5868,861.8132,709.8008
230,891.5868,885.0810,825.2593
231,891.5868,883.3702,818.8264
232,891.5868,873.7029,709.8008
233,891.5868,863.7784,709.8008
234,891.5868,878.3213,825.2593
235,891.5868,876.9957,800.1700
236,891.5868,884.4177,825.2593
237,891.5868,876.3560,709.8008
238,891.5868,878.3213,825.2593
239,891.5868,870.5533,738.5270
240,891.5868,862.8103,709.8008
241,891.5868,851.5528,709.8008
242,891.5868,855.1270,709.8008
243,891.5868,844.8912,709.8008
244,891.5868,850.0935,735.0782
245,891.5868,865.9533,678.1517
246,891.5868,863.3407,709.8008
247,891.5868,855.9081,738.5270
248,891.5868,879.0091,709.8008
249,891.5868,874.3908,709.8008
250,891.5868,859.2452,709.8008
251,891.5868,857.1508,709.8008
252,891.5868,860.3819,709.8008
253,891.5868,856.2008,652.3274
254,891.5868,858.9472,709.8008
255,891.5868,874.6940,709.8008
256,891.5868,869.8636,773.1559
257,891.5868,880.8698,822.6440
258,891.5868,877.3432,800.4106
259,891.5868,891.5868,891.5868
260,931.3480,880.4790,691.7331
261,931.3480,868.2266,713.1271
262,931.3480,880.5943,818.5118
263,931.3480,867.2481,657.7006
264,931.3480,914.9232,732.9047
265,931.3480,902.5862,735.8613
266,931.3480,921.8074,735.8613
267,931.3480,907.8896,735.8613
268,931.3480,901.2016,709.8008
269,931.3480,907.8896,735.8613
270,931.3480,914.6944,710.4942
271,931.3480,919.2127,735.8613
272,931.3480,931.3480,931.3480
273,931.3480,923.5286,735.8613
274,931.3480,915.7091,735.8613
275,931.3480,907.3116,735.8613
276,931.3480,927.0322,823.4513
277,931.3480,915.7091,735.8613
278,931.3480,915.4497,735.8613
279,931.3480,923.2691,735.8613
280,931.3480,921.1668,735.8613
281,931.3480,915.7091,735.8613
282,931.3480,931.3480,931.3480
283,931.3480,923.5286,735.8613
284,931.3480,920.6645,766.2586
285,931.3480,906.8532,682.9769
286,931.3480,916.8152,735.8613
287,931.3480,922.4861,709.8008
288,931.3480,913.1396,671.6232
289,1019.4833,927.0540,735.8613
290,1019.4833,932.2568,735.8613
291,1019.4833,957.4621,717.7084
292,1019.4833,1000.3530,893.7686
293,1019.4833,1000.6201,738.6010
294,1019.4833,1007.0960,709.8008
295,1019.4833,1011.8554,828.7868
296,1019.4833,1000.7600,742.0974
297,1019.4833,996.5997,828.7868
298,1019.4833,1011.8554,828.7868
299,1019.4833,981.3432,709.8008
300,1019.4833,1002.3037,742.0974
301,1019.4833,978.6944,762.5462
302,1019.4833,978.8026,750.2262
303,1019.4833,1002.2327,828.7868
304,1019.4833,988.9718,828.7868
305,1019.4833,988.9959,828.7868
306,1019.4833,996.5997,828.7868
307,1019.4833,996.5997,828.7868
308,1019.4833,1004.2275,828.7868
309,1019.4833,973.6199,738.5525
310,1019.4833,960.5007,709.8008
311,1019.4833,972.5076,734.9770
312,1019.4833,982.9008,709.8008
313,1037.4456,975.9915,709.8008
314,1037.4456,997.5079,828.7868
315,1037.4456,1024.6357,954.6459
316,1037.4456,1035.2901,1019.4833
317,1037.4456,1005.5102,759.1591
318,1037.4456,1029.6776,843.2449
319,1037.4456,1037.4456,1037.4456
320,1037.4456,1026.5988,766.2764
321,1037.4456,982.9015,759.1591
322,1037.4456,1026.3142,759.1591
323,1037.4456,1037.4456,1037.4456
324,1037.4456,1004.3359,759.1591
325,1037.4456,1000.7431,676.4560
326,1037.4456,1019.3917,759.1591
327,1037.4456,1005.1392,759.1591
328,1037.4456,1016.1079,759.1591
329,1037.4456,998.7184,759.1591
330,1037.4456,983.1562,759.1591
331,1037.4456,991.3328,676.4560
332,1037.4456,931.1022,664.1766
333,1037.4456,1037.4456,1037.4456
334,1037.4456,1015.1827,759.1591
335,1037.4456,997.7595,664.6136
336,1037.4456,997.2635,695.4974
337,1037.4456,1026.3627,802.7427
338,1037.4456,1026.3142,759.1591
339,1037.4456,1016.6501,759.1591
340,1037.4456,1006.7573,759.1591
341,1037.4456,1037.4456,1037.4456
342,1037.4456,1008.9268,602.7618
343,1037.4456,977.5642,658.8947
344,1037.4456,989.4614,688.9574
345,1037.4456,989.1692,670.4495
346,1037.4456,1012.1329,682.9131
347,1037.4456,954.9580,625.5268
348,1037.4456,996.7957,759.1591
349,1037.4456,1004.0512,759.1591
350,1037.4456,1004.3950,750.1568
351,1037.4456,995.7468,759.1591
352,1037.4456,1004.7373,704.9047
353,1037.4456,1003.8287,695.4974
354,1037.4456,1007.4637,702.6305
355,1037.4456,1015.1827,759.1591
356,1037.4456,1015.1827,759.1591
357,1037.4456,1016.6413,770.4478
358,1037.4456,974.8435,695.4974
359,1037.4456,1000.6499,759.1591
360,1037.4456,987.8268,695.4974
361,1037.4456,992.1543,759.1591
362,1037.4456,970.6740,746.4848
363,1037.4456,991.5065,759.1591
364,1037.4456,1036.5286,1014.5190
365,1056.7481,1015.9548,759.1591
366,1056.7481,1039.0718,999.8652
367,1056.7481,1048.2960,999.8652
368,1056.7481,1032.7301,707.0012
369,1056.7481,1010.5019,713.3687
370,1056.7481,1031.4324,707.6493
371,1056.7481,1009.3326,686.2252
372,1056.7481,1021.5931,706.8543
373,1056.7481,994.5998,686.2252
374,1056.7481,968.5144,657.6250
375,1056.7481,1021.5990,707.0012
376,1056.7481,1000.1330,792.2576
377,1056.7481,1038.4017,686.2252
378,1056.7481,1029.3810,637.0612
379,1056.7481,1043.8714,734.8319
380,1056.7481,1020.7679,686.2252
381,1056.7481,1001.2813,728.0395
382,1056.7481,1011.8476,660.6664
383,1056.7481,1041.9272,686.2252
384,1056.7481,1022.3119,724.8237
385,1056.7481,1033.6283,771.8199
386,1056.7481,1041.9272,686.2252
387,1056.7481,988.5753,730.6064
388,1056.7481,1013.6121,771.8199
389,1056.7481,1014.4296,792.2576
390,1056.7481,1035.5888,792.2576
391,1056.7481,1021.0480,726.0171
392,1056.7481,1046.1685,792.2576
393,1056.7481,1017.2693,679.5257
394,1056.7481,1034.5249,765.6596
395,1056.7481,1038.2705,686.2252
396,1056.7481,1024.1917,771.8199
397,1056.7481,1056.7481,1056.7481
398,1056.7481,1046.1685,792.2576
399,1056.7481,1042.1666,869.4181
400,1056.7481,1040.5498,792.2576
