generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
1,473.4339,369.6376,249.0601,720.4140,429.4815,221.1065,548.7854,383.3406,280.5695,479.4192,362.3609,221.1065,692.7783,434.7953,259.5711
2,496.8363,401.5017,217.4551,720.4140,564.8095,280.6290,548.7854,447.7678,297.0453,515.0639,407.0166,198.2904,694.7476,527.3635,244.4234
3,549.3699,421.9762,267.4952,720.4140,659.8088,337.1286,548.7854,487.6073,337.9706,515.0639,435.7279,310.3398,724.9172,605.2723,382.8595
4,549.3699,452.3849,271.9244,720.4140,673.7602,422.5049,548.7854,512.0884,379.4157,515.0639,401.8915,257.2514,724.9172,666.4206,483.4524
5,549.3699,460.2851,259.5891,720.4140,697.5054,585.8334,548.7854,522.7882,275.5827,515.0639,385.7825,245.0479,724.9172,666.2796,461.1848
6,573.7390,520.2148,320.0106,720.4140,704.7621,565.8877,548.7854,524.7474,258.9192,515.0639,444.0798,342.4518,724.9172,686.8257,500.4907
7,573.7390,551.2651,474.9047,720.4140,711.6627,627.5853,548.7854,537.4255,342.4947,518.2676,490.3376,318.5374,724.9172,692.3536,533.7611
8,573.7390,539.9133,439.6033,720.4140,720.4140,720.4140,548.7854,538.8314,471.0792,564.4572,504.4978,393.9920,724.9172,665.7853,373.8033
9,573.7390,553.8864,439.2096,720.4140,718.9555,702.1819,548.7854,541.9397,471.0792,564.4572,529.0864,433.7826,724.9172,698.7544,455.8683
10,573.7390,556.4043,493.9244,720.4140,716.7172,672.0439,548.7854,541.0914,471.0792,564.4572,554.9307,463.7133,727.5162,705.7510,438.8888
11,573.7390,563.5104,424.1586,720.4140,718.0144,696.8880,548.7854,540.8346,471.0792,571.5363,562.1288,532.8419,727.5162,711.5793,634.3140
12,573.7390,566.4376,501.0231,720.4140,715.2027,663.0584,548.7854,548.7854,548.7854,571.5363,557.4795,530.7827,727.5162,713.3955,660.9794
13,573.7390,571.1294,534.3928,720.4140,719.6848,702.1819,548.7854,546.4689,490.8741,571.5363,562.0960,536.3738,727.5162,714.3608,642.3692
14,573.7390,573.7390,573.7390,720.4140,714.8300,653.7427,569.1265,546.4908,471.0792,571.5363,561.8756,526.5174,727.5162,725.1066,671.1274
15,573.7390,572.8040,550.3646,720.4140,716.2190,652.0014,569.1265,548.3786,471.0792,571.5363,570.0234,540.7928,727.5162,720.7077,645.2094
16,573.7390,570.0367,481.1811,720.4140,716.5414,702.1819,569.1265,549.8538,471.0792,571.5363,567.9418,530.1442,727.5162,723.1009,643.4935
17,573.7390,572.8040,550.3646,720.4140,716.1576,662.4503,569.1265,566.1324,548.7854,571.5363,561.3644,482.8062,727.5162,727.4777,726.5535
18,573.7390,568.4621,550.3646,720.4140,716.8703,637.4755,569.1265,569.1265,569.1265,571.5363,561.9371,497.1247,727.5162,724.4694,651.3447
19,573.7390,570.9831,534.3928,720.4140,720.1879,714.7596,569.1265,569.1265,569.1265,571.5363,569.8806,530.1442,727.5162,727.5162,727.5162
20,573.7390,571.6992,522.7448,720.4140,720.4140,720.4140,569.1265,569.1265,569.1265,571.5363,567.5693,513.7537,727.5162,726.3141,697.4618
21,573.7390,569.9991,550.3646,720.4140,720.4140,720.4140,569.1265,565.2547,498.0966,571.5363,571.5363,571.5363,727.5162,727.4777,726.5535
22,573.7390,572.1652,534.3928,720.4140,718.7871,679.7398,573.8143,565.9851,504.8187,571.5363,571.5363,571.5363,727.5162,725.5759,679.0089
23,573.7390,565.6830,481.1811,720.4140,717.9850,677.9202,576.2391,566.9204,518.5626,571.5363,571.5363,571.5363,727.5162,724.1458,674.5333
24,573.7390,567.6034,506.4447,720.4140,719.6848,702.1819,587.8556,572.0617,547.5505,571.5363,571.5363,571.5363,727.5162,727.0082,714.8154
25,573.7390,571.2302,534.3928,720.4140,720.4140,720.4140,587.8556,571.9247,530.5828,571.5363,571.5363,571.5363,727.5162,726.0584,692.9950
26,573.7390,572.1652,534.3928,720.4140,718.9555,702.1819,587.8556,572.4157,499.2454,571.5363,567.9181,522.4729,727.5162,726.8177,711.0157
27,573.7390,572.2020,550.3646,720.4140,720.4140,720.4140,587.8556,582.4921,551.9160,571.5363,566.2633,522.4962,727.5162,727.4392,726.5535
28,573.7390,571.5999,550.3646,720.4140,717.6663,688.1857,587.8556,583.8153,551.9160,571.5363,569.8806,530.1442,727.5162,727.5162,727.5162
