generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
1,422.0162,274.8388,114.1910,559.2555,335.6342,127.8514,437.1520,309.5234,146.8998,450.8079,286.9092,145.8660,509.7209,322.4059,145.9248
2,426.3405,308.3737,133.8338,559.2555,417.1736,135.9372,443.2925,335.2125,196.6877,450.8079,303.5426,138.9996,549.8792,386.0807,188.2347
3,429.6319,316.8994,171.7310,613.4172,477.8655,280.1778,473.0876,360.2121,184.1120,491.9018,330.0949,165.5914,549.8792,436.0790,202.1504
4,480.6283,329.6510,220.6005,613.4172,534.5581,358.0118,481.9661,372.3354,165.5949,491.9018,355.4123,163.7577,549.8792,470.3598,262.2704
5,486.3903,353.1412,169.7889,613.4172,555.3873,431.2830,481.9661,388.1992,236.7300,491.9018,377.5220,187.0684,572.9082,493.8397,302.7733
6,486.3903,373.5244,128.1574,613.4172,565.8431,478.9057,481.9661,414.5232,278.8405,491.9018,379.5980,231.2564,572.9082,492.1674,330.6733
7,531.8253,392.6174,173.8512,613.4172,579.0747,500.4527,518.2074,422.5528,229.7419,491.9018,388.3602,196.0775,584.1965,504.6582,360.0417
8,578.0079,412.1007,223.0762,613.4172,596.6164,500.2584,518.2074,427.0649,252.8682,508.4587,393.6055,210.5449,586.4717,510.2035,375.2877
9,578.0079,435.6840,277.3313,613.4172,603.6258,494.0220,534.0366,445.5584,291.7961,535.3938,418.5904,242.9331,586.4717,529.4929,390.4615
10,578.0079,455.6837,253.8934,613.4172,605.6360,510.0665,563.6165,468.6199,346.7020,539.2769,441.3494,259.6903,586.4717,546.1581,439.5379
11,595.6840,474.7732,305.2479,623.6098,609.3101,545.7260,569.1223,495.6477,367.7116,539.2769,454.3399,320.1203,586.4717,560.9547,458.6236
12,599.6984,506.5141,348.6140,623.6098,613.1602,554.6145,614.5314,506.0786,354.0229,554.2091,475.3735,255.5107,608.5472,572.1012,410.4377
13,599.6984,531.5093,381.8234,623.6098,612.8800,472.2171,614.5314,525.7855,414.9609,554.2091,498.8870,341.3958,608.5472,577.3811,505.7581
14,599.6984,556.1431,405.3949,623.6098,615.4434,520.2453,614.5314,553.4809,361.8414,554.2091,511.1232,392.0627,608.5472,580.2053,452.4281
