generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
41,607.5151,511.8226,325.2304,632.3078,571.4048,346.6720,645.1503,551.2732,324.4602,615.0924,507.3218,318.6810,657.5081,578.9757,417.0259
42,607.5151,513.9922,312.6666,632.3078,569.9396,348.0562,645.1503,554.5553,322.1351,615.0924,510.8234,336.9753,657.5081,578.1419,400.8782
43,610.0269,510.5437,330.0059,632.3078,573.3451,364.3070,645.1503,557.7086,334.4237,616.7966,515.2555,311.4279,659.3810,580.6213,386.0861
44,610.0269,510.8342,310.8380,632.3078,573.9705,364.6544,645.1503,557.9068,345.0266,616.7966,517.5344,326.4647,659.3810,583.0761,398.2231
45,610.1801,510.8239,296.7816,632.3078,576.7895,393.8769,648.0030,565.7109,333.5429,619.4227,517.0580,334.0364,659.7465,581.6908,403.6038
46,612.5489,513.6483,306.7959,632.5370,580.4348,384.5392,649.9940,563.1426,348.7511,619.4227,519.6937,307.5297,660.3199,582.9410,384.0370
47,612.5489,515.1923,320.3802,633.7365,580.1847,373.1130,651.9525,565.3398,344.3169,622.5431,525.3018,344.4685,660.5068,584.4651,400.5221
48,612.5489,517.7646,320.7745,633.7365,584.4498,388.9644,653.2751,567.8409,362.8684,622.5431,528.5398,312.0443,665.0629,586.8027,391.9263
49,612.7613,515.6361,296.8426,635.2663,584.2477,404.2157,653.2751,566.3972,353.3505,622.5431,528.4760,332.5501,665.4558,589.0714,378.7489
50,614.5023,516.9216,300.7662,635.4124,582.4247,390.4902,654.9420,561.1646,342.5926,622.5431,526.8740,348.2081,665.4558,583.2399,378.8910
51,614.5023,515.3385,315.7699,635.5584,585.1064,403.0870,655.2610,565.7168,343.5022,622.5431,527.1539,306.0607,667.1506,585.4847,410.6853
52,614.5023,516.1551,298.3085,635.5584,582.4343,401.0053,657.4934,568.5728,337.7641,622.5431,527.7116,311.6642,669.9571,585.5678,387.1390
53,614.5023,520.3841,303.4106,636.5966,584.4335,401.7810,657.4934,567.2808,327.5271,622.5431,532.1601,345.3169,669.9571,585.4861,383.1660
54,615.4650,521.4298,288.0584,636.8813,585.0104,384.4446,657.5673,566.8664,335.4758,622.5431,537.6030,349.4687,669.9571,589.8144,406.2918
55,615.4650,527.4360,315.6104,636.8891,582.4428,401.1121,657.5673,570.9343,335.0716,622.5431,544.0392,337.0869,669.9571,591.6822,407.3902
56,618.3741,529.2648,320.4846,636.8891,576.0439,383.8667,657.5673,574.0129,325.4636,622.5431,546.3848,347.2087,671.7980,593.8723,394.0189
57,618.3741,530.2358,321.7324,636.8891,578.0250,418.3459,659.2699,573.7769,339.6016,622.5431,550.8122,353.8457,671.9783,594.7482,386.3071
58,621.2704,531.9153,326.0621,636.8891,578.6642,391.4671,659.2699,569.4009,354.3957,622.5431,553.5524,363.5675,671.9783,598.7494,420.3947
59,621.5628,537.4810,328.3097,636.8891,577.5331,391.0816,659.2699,565.7648,311.8570,622.7843,553.8717,354.3854,672.4758,603.4497,413.8298
60,623.6474,538.6974,322.2793,637.1183,574.8740,383.9311,659.2699,564.3582,328.5171,622.7843,555.3435,345.8069,672.4758,605.1310,425.5977
61,623.6474,540.2804,370.4304,637.8548,575.6320,388.5785,659.2699,568.7670,351.6774,623.8055,548.1326,371.1679,672.6001,606.8360,440.3146
62,623.6474,537.1026,350.6118,637.8548,574.5382,360.4876,659.2699,569.5625,337.0587,623.8055,546.0680,361.7331,672.6001,605.6373,436.5789
63,623.7359,542.1819,339.4945,639.5098,575.7603,375.4393,659.2699,567.8330,323.4622,623.8055,548.5076,343.1462,672.6544,603.8653,418.7624
64,623.7359,542.3277,328.5635,639.8831,575.6868,399.0518,659.2699,567.7049,332.4757,626.0875,548.3643,365.3566,672.6544,604.2082,406.2348
65,623.7359,536.6933,348.5962,639.8831,575.3183,372.9339,659.2699,570.8403,311.5734,627.1483,552.9265,356.4724,672.6544,602.6296,401.3212
66,626.1978,538.2824,330.3415,641.2667,571.1345,383.5483,660.3745,563.4033,308.8664,627.5094,549.3575,336.5602,673.0278,600.0728,401.6775
67,626.1978,541.3214,338.4285,642.7328,575.9691,373.1888,660.3745,567.9100,313.7801,627.5094,547.5524,370.3210,673.0278,595.9957,415.7998
68,626.1978,542.5313,326.3835,642.7328,578.8149,393.5560,660.3745,566.9319,332.3338,628.4927,545.9073,360.4823,673.0278,597.1635,418.3080
69,626.1978,542.5546,330.4819,642.7328,578.8955,371.1783,660.3745,568.6588,343.8976,628.5035,542.3629,330.5951,673.0278,594.7407,390.4923
